"order_item_id","order_id","product_id","quantity","price"
"1","1","15","2","1352.4"
"2","1","75","3","959.47"
"3","2","45","5","1181.59"
"4","3","46","3","733.88"
"5","3","147","2","1526.76"
"6","4","62","5","1663.55"
"7","5","41","2","1378.7"
"8","5","93","3","337.67"
"9","6","110","5","1679.66"
"10","7","180","2","1618.22"
"11","7","13","3","1060.85"
"12","8","195","5","519.31"
"13","8","11","3","1611.88"
"14","9","72","4","85.06"
"15","9","135","2","1252.76"
"16","9","187","1","205.68"
"17","10","94","5","1041.31"
"18","11","110","4","1526.34"
"19","12","188","5","1840.46"
"20","12","15","3","1637.18"
"21","13","63","3","1853.37"
"22","13","193","1","487.82"
"23","13","193","3","1658.73"
"24","14","120","4","1947.76"
"25","14","156","4","1122.18"
"26","14","73","1","846.3"
"27","15","100","1","1063.51"
"28","15","173","4","884"
"29","16","71","2","687.04"
"30","16","87","4","822.86"
"31","17","147","5","533.9"
"32","17","58","1","970.72"
"33","17","158","4","1100.02"
"34","18","16","1","1120.93"
"35","18","121","2","889.38"
"36","19","55","5","1366.93"
"37","19","12","3","1581.12"
"38","19","60","1","1608.08"
"39","20","51","3","27.35"
"40","20","118","4","35.22"
"41","21","103","4","945.52"
"42","21","179","5","440.91"
"43","21","197","1","826.97"
"44","22","154","4","510.53"
"45","22","191","5","1453.39"
"46","22","190","3","1595.68"
"47","23","42","1","1457.25"
"48","23","166","2","472.52"
"49","24","13","4","1529.54"
"50","25","77","5","1463.89"
"51","25","81","1","177.67"
"52","26","88","4","1913.72"
"53","26","47","5","1550.21"
"54","26","86","1","886.6"
"55","27","19","4","1616.63"
"56","27","10","2","722.79"
"57","28","20","1","819.97"
"58","28","19","3","473.36"
"59","28","87","3","1449.07"
"60","29","107","3","1464.13"
"61","29","122","3","666.44"
"62","30","72","1","1598.58"
"63","30","58","2","1421.93"
"64","30","38","2","92.61"
"65","31","198","3","1691.24"
"66","31","96","2","1737.27"
"67","31","158","1","37.88"
"68","32","104","3","1348.32"
"69","32","132","4","1693.72"
"70","32","75","3","1591.47"
"71","33","122","2","293.8"
"72","33","93","4","266.58"
"73","34","13","1","346.39"
"74","35","179","5","849.99"
"75","35","140","5","1783.2"
"76","35","196","3","1617.94"
"77","36","101","4","1869.81"
"78","37","121","4","1765.24"
"79","37","189","2","153.38"
"80","37","148","2","716.63"
"81","38","74","2","786.95"
"82","38","57","3","1576.4"
"83","38","117","1","161.53"
"84","39","158","2","32.24"
"85","39","111","3","121.42"
"86","39","41","4","1518.21"
"87","40","23","1","82.52"
"88","40","65","4","690.18"
"89","41","170","4","1820.37"
"90","41","31","1","22.64"
"91","41","196","2","1865.41"
"92","42","60","4","1751"
"93","42","156","5","1613.56"
"94","43","96","2","1884.36"
"95","43","79","5","1738.2"
"96","44","91","3","636.33"
"97","45","27","2","916.36"
"98","45","134","1","1157.95"
"99","45","182","3","88.83"
"100","46","124","4","170.49"
"101","46","24","2","1060.09"
"102","46","41","2","1980.15"
"103","47","198","1","995.63"
"104","47","99","3","938.8"
"105","48","141","5","342.15"
"106","48","97","4","500.77"
"107","49","145","4","1458.57"
"108","50","94","2","36.06"
"109","50","26","1","902.85"
"110","51","75","4","269.92"
"111","51","67","1","140.06"
"112","51","136","1","1554.18"
"113","52","37","2","394"
